;2026M01;2025M12;2025M11;2025M10;2025M09;2025M08;2025M07;2025M06;2025M05;2025M04;2025M03;2025M02;2025M01;AVG_2025;2024M12;2024M11;2024M10;2024M09;2024M08;2024M07;2024M06;2024M05;2024M04;2024M03;2024M02;2024M01;AVG_2024;2023M12;2023M11;2023M10;2023M09;2023M08;2023M07;2023M06;2023M05;2023M04;2023M03;2023M02;2023M01;AVG_2023
District of Bratislava I;26;6;30;19;-8;37;58;75;33;55;36;1;35;31,4166666666667;9;15;55;14;40;47;-20;21;70;-4;23;33;25,25;22;25;39;27;81;44;28;48;40;54;30;86;43,6666666666667
District of Bratislava II;151;80;52;117;82;114;115;105;101;81;78;14;57;83;23;119;74;34;50;41;154;63;128;28;83;43;70;-18;73;259;46;-18;27;7;55;4;38;33;6;42,6666666666667
District of Bratislava III;16;-10;55;46;42;63;33;56;78;39;41;118;77;53,1666666666667;72;85;98;-14;29;36;35;77;28;14;29;83;47,6666666666667;186;97;43;33;4;49;19;39;81;31;26;-27;48,4166666666667
District of Bratislava IV;72;-2;41;28;-11;36;13;36;84;-6;33;1;10;21,9166666666667;26;-27;59;4;70;1;-5;27;6;30;7;-14;15,3333333333333;13;0;-9;-31;10;65;9;7;-36;-21;18;1;2,16666666666667
District of Bratislava V;-53;-82;3;71;111;93;-11;10;-27;-28;-78;-45;-4;1,08333333333333;-29;53;-9;-10;4;-51;-15;0;-24;35;-25;-26;-8,08333333333333;-13;-16;12;45;-24;-12;-24;-68;-37;-68;-4;-97;-25,5
District of Malacky;85;80;24;33;15;29;34;17;48;15;91;73;23;40,1666666666667;19;35;25;27;-12;7;30;50;75;34;45;43;31,5;9;37;11;57;37;24;29;90;51;23;47;34;37,4166666666667
District of Pezinok;37;66;-7;-6;1;-3;9;-5;58;-15;23;0;-2;9,91666666666667;-24;7;29;23;-2;50;18;32;12;21;8;-2;14,3333333333333;-4;24;0;21;28;33;51;-2;25;22;-27;6;14,75
District of Senec;182;212;82;78;88;52;48;84;89;186;122;73;33;95,5833333333333;50;66;101;122;82;150;123;170;187;177;154;171;129,416666666667;54;116;127;166;140;133;212;209;231;320;201;336;187,083333333333
District of Dunajská Streda;257;123;100;97;87;55;124;103;87;72;77;79;79;90,25;56;61;113;117;78;59;77;89;80;69;52;175;85,5;91;72;99;47;88;118;94;136;55;99;93;171;96,9166666666667
District of Galanta;25;48;67;61;-1;31;39;10;30;5;6;10;-23;23,5833333333333;48;17;-1;-3;17;1;24;12;7;27;5;12;13,8333333333333;27;34;19;27;20;24;27;48;49;35;48;90;37,3333333333333
District of Hlohovec;-1;-35;-4;5;-11;0;-13;-7;-17;-15;10;12;-11;-7,16666666666667;-21;-14;-16;-21;-14;-5;-15;-20;-16;-17;-32;-29;-18,3333333333333;-6;-2;-11;-17;1;-7;-27;-9;-19;-12;-15;-22;-12,1666666666667
District of Piešťany;-4;-34;2;-5;4;-8;-12;18;-25;17;23;0;6;-1,16666666666667;1;-23;0;4;-25;-21;13;-7;-4;9;29;27;0,25;6;-8;-14;5;-20;-27;-12;-17;-15;-9;-12;5;-9,83333333333333
District of Senica;4;17;6;-24;13;5;-18;6;28;13;14;-2;7;5,41666666666667;6;3;7;25;-8;4;1;11;20;-7;-11;2;4,41666666666667;1;-9;-11;-7;-1;-2;20;0;4;-8;0;50;3,08333333333333
District of Skalica;5;0;3;6;-15;-10;-6;7;-14;-12;-18;-6;-2;-5,58333333333333;-7;0;-3;-5;4;9;1;-6;17;4;1;-2;1,08333333333333;5;1;-10;-6;5;-1;-11;1;-5;-1;-4;-21;-3,91666666666667
District of Trnava;60;57;11;6;68;42;40;28;1;22;37;31;36;31,5833333333333;14;47;44;63;31;47;28;56;44;32;47;39;41;5;12;52;44;40;18;25;53;28;20;36;23;29,6666666666667
District of Bánovce nad Bebravou;-17;-13;-20;-11;6;-11;-5;2;3;-10;-1;-11;2;-5,75;-8;10;-12;15;-11;-14;-17;-14;-19;-9;-11;-24;-9,5;6;3;-13;0;3;9;-11;-11;-21;-14;-12;-24;-7,08333333333333
District of Ilava;-3;-53;-10;-5;2;-6;-23;-1;5;-25;-18;-15;-8;-13,0833333333333;-4;3;-8;26;28;-23;-1;-4;-8;1;8;6;2;17;-5;-29;-10;-3;0;1;14;-15;-4;6;-10;-3,16666666666667
District of Myjava;1;0;-8;-8;-3;-9;7;-19;-8;-11;1;-8;-8;-6,16666666666667;3;4;10;-3;-12;-15;4;2;6;-7;-19;4;-1,91666666666667;-2;2;-6;1;-3;10;5;-19;5;-4;1;-12;-1,83333333333333
District of Nové Mesto nad Váhom;-7;28;6;-3;17;13;27;17;5;-19;3;14;12;10;7;19;22;33;8;19;-4;6;11;39;34;18;17,6666666666667;1;18;8;7;20;-12;11;31;25;6;40;27;15,1666666666667
District of Partizánske;-2;-26;-19;-29;-14;-10;-28;-12;-5;-12;-14;-16;-7;-16;-10;-7;-3;-15;0;-33;6;-19;-22;-15;-20;0;-11,5;-13;-10;-15;-16;-3;-11;-9;1;-15;16;-18;-12;-8,75
