parameter,global_mean,global_std,n_groups,sampling,composite,source
commuter_mode_threshold,0.534,0.298,11,normal,no,commuter_threshold
digital_comm_intensity,0.7788,0.2582,12,normal,no,digital_comm_intensity
digital_trust,0.4073,0.2522,12,normal,no,digital_trust
domain_economic_gap,0.641,0.1441,11,normal,no,economic_gap
domain_economic_threshold,0.3548,0.0873,11,normal,no,job_loss_fear
domain_economic_weight,0.2868,0.1002,12,normal,no,economic_sensitivity
domain_future_place,0.3157,0.1853,12,normal,no,place_aspiration
domain_future_value,0.5828,0.1745,12,normal,no,future_orientation
domain_social_weight,0.091,0.0708,12,normal,no,social_domain_weight
econ_perceived_control,0.659,0.1716,10,normal,no,econ_perceived_control
external_mig_threshold,0.3047,0.289,11,normal,no,external_mig_threshold
family_weight_modifier,0.1067,0.0331,10,normal,no,work_family_conflict
inertia_shock_sensitivity,0.0502,0.0788,12,normal,no,historical_shock
inertia_social_component,0.7253,0.1979,12,normal,yes,inertia_social_component
info_quality_modifier,0.6818,0.1611,12,normal,yes,info_quality_final
internal_mig_threshold,0.3445,0.2831,11,normal,no,internal_mig_threshold
job_flexibility_threshold,0.6216,0.2111,11,normal,no,job_flexibility
network_job_search,0.2868,0.4368,12,bernoulli,no,network_job_search
network_location,0.2706,0.4444,12,bernoulli,no,network_location
network_signal_susceptibility,0.4598,0.214,12,normal,no,network_signal_susceptibility
perceived_control,0.5863,0.1645,12,normal,no,perceived_control
satisfaction_init,0.6855,0.177,12,normal,no,satisfaction_baseline
tenure_loyalty_bonus,0.0612,0.0288,11,normal,no,org_loyalty
weak_ties_utility,0.6998,0.2496,12,normal,no,weak_ties_utility
