origin_district,destination_district,Not found out,flow_school,flow_work,total_flow,travel_time_min
District of Banská Bystrica,Abroad,0.0,4,744,748,
District of Banská Bystrica,District of Banská Bystrica,1.0,12246,32410,44656,0.0
District of Banská Bystrica,District of Bratislava I,0.0,274,249,523,204.8320253205724
District of Banská Bystrica,District of Bratislava II,1.0,26,239,265,197.84164518142757
District of Banská Bystrica,District of Bratislava III,0.0,80,160,240,198.60719611954434
District of Banská Bystrica,District of Bratislava V,0.0,93,84,177,208.25899602258306
District of Banská Bystrica,District of Brezno,0.0,74,374,448,37.701153216474296
District of Banská Bystrica,District of Nitra,0.0,133,91,224,118.71766889977708
District of Banská Bystrica,District of Zvolen,0.0,365,1760,2125,37.91752285383494
District of Banská Bystrica,District of Žiar nad Hronom,0.0,15,147,162,39.93074608408516
District of Banská Bystrica,District of Žilina,0.0,155,88,243,67.79465755535807
District of Banská Bystrica,Not found out,96.0,49,2837,2886,
District of Banská Bystrica,Without work address,15.0,0,5100,5100,
District of Banská Štiavnica,District of Banská Bystrica,0.0,150,167,317,50.61287068428999
District of Banská Štiavnica,District of Banská Štiavnica,0.0,1587,2929,4516,0.0
District of Banská Štiavnica,District of Zvolen,0.0,87,275,362,18.26250219818856
District of Banská Štiavnica,District of Žiar nad Hronom,0.0,38,207,245,26.61194776145319
District of Banská Štiavnica,Not found out,25.0,12,429,441,
District of Banská Štiavnica,Without work address,11.0,0,844,844,
District of Bardejov,Abroad,0.0,3,2447,2450,
District of Bardejov,District of Bardejov,0.0,9148,12970,22118,0.0
District of Bardejov,District of Bratislava I,0.0,153,61,214,393.59589367289044
District of Bardejov,District of Košice I,0.0,463,184,647,69.02324748429758
District of Bardejov,District of Košice II,0.0,104,76,180,84.85308259760703
District of Bardejov,District of Košice IV,0.0,70,83,153,80.54179703826283
District of Bardejov,District of Prešov,0.0,802,1286,2088,39.21475065897369
District of Bardejov,District of Svidník,0.0,134,290,424,28.76453976419658
District of Bardejov,Not found out,98.0,78,1581,1659,
District of Bardejov,Without work address,12.0,0,3467,3467,
District of Bratislava I,Abroad,0.0,5,427,432,
District of Bratislava I,District of Bratislava I,0.0,3171,6666,9837,0.0
District of Bratislava I,District of Bratislava II,1.0,596,3228,3824,10.649584630034695
District of Bratislava I,District of Bratislava III,0.0,429,2230,2659,7.320594803221329
District of Bratislava I,District of Bratislava IV,0.0,488,1326,1814,9.709676371457293
District of Bratislava I,District of Bratislava V,0.0,702,1593,2295,10.826755670112606
District of Bratislava I,Not found out,36.0,147,1450,1597,
District of Bratislava I,Without work address,5.0,0,1522,1522,
District of Bratislava II,Abroad,0.0,4,978,982,
District of Bratislava II,District of Bratislava I,1.0,2215,11731,13946,10.649584630034695
District of Bratislava II,District of Bratislava II,1.0,9348,20196,29544,0.0
District of Bratislava II,District of Bratislava III,0.0,1291,7845,9136,11.721426166680251
District of Bratislava II,District of Bratislava IV,0.0,553,3267,3820,20.148257137882933
District of Bratislava II,District of Bratislava V,1.0,1490,4429,5919,10.606234884047684
District of Bratislava II,District of Dunajská Streda,0.0,58,188,246,41.74269709015959
District of Bratislava II,District of Malacky,0.0,13,260,273,44.659192395970855
District of Bratislava II,District of Pezinok,0.0,24,204,228,29.456448877760955
District of Bratislava II,District of Senec,0.0,94,696,790,9.899516322074305
District of Bratislava II,District of Trnava,0.0,154,202,356,50.81745268400915
District of Bratislava II,Not found out,95.0,202,3209,3411,
District of Bratislava II,Without work address,20.0,0,4909,4909,
District of Bratislava III,Abroad,0.0,3,653,656,
District of Bratislava III,District of Bratislava I,0.0,1801,8059,9860,7.320594803221329
District of Bratislava III,District of Bratislava II,1.0,1061,7200,8261,11.721426166680251
District of Bratislava III,District of Bratislava III,0.0,5314,9142,14456,0.0
District of Bratislava III,District of Bratislava IV,1.0,509,2277,2786,11.577611442701066
District of Bratislava III,District of Bratislava V,0.0,813,2571,3384,17.001244543734813
District of Bratislava III,District of Malacky,0.0,7,175,182,33.30705137367508
District of Bratislava III,District of Pezinok,0.0,25,274,299,23.33992090058275
District of Bratislava III,District of Senec,0.0,44,453,497,14.908162553094076
District of Bratislava III,District of Trnava,0.0,121,142,263,46.29099108103199
District of Bratislava III,Not found out,68.0,201,2217,2418,
District of Bratislava III,Without work address,12.0,0,3110,3110,
District of Bratislava IV,Abroad,0.0,4,1008,1012,
District of Bratislava IV,District of Bratislava I,1.0,2362,10192,12554,9.709676371457293
District of Bratislava IV,District of Bratislava II,2.0,848,7482,8330,20.148257137882933
District of Bratislava IV,District of Bratislava III,1.0,794,5350,6144,11.577611442701066
District of Bratislava IV,District of Bratislava IV,1.0,8965,12351,21316,0.0
District of Bratislava IV,District of Bratislava V,0.0,1303,3823,5126,19.13454640859676
District of Bratislava IV,District of Malacky,0.0,32,691,723,32.71683752093261
District of Bratislava IV,District of Senec,0.0,40,290,330,26.137191463381768
District of Bratislava IV,District of Trnava,0.0,106,104,210,54.98288000049562
District of Bratislava IV,Not found out,69.0,148,2637,2785,
District of Bratislava IV,Without work address,15.0,0,3773,3773,
District of Bratislava V,Abroad,0.0,3,1302,1305,
District of Bratislava V,District of Bratislava I,0.0,1825,11340,13165,10.826755670112606
District of Bratislava V,District of Bratislava II,1.0,968,9656,10624,10.606234884047684
District of Bratislava V,District of Bratislava III,0.0,670,5860,6530,17.001244543734813
District of Bratislava V,District of Bratislava IV,0.0,592,3991,4583,19.13454640859676
District of Bratislava V,District of Bratislava V,1.0,8515,10779,19294,0.0
District of Bratislava V,District of Malacky,0.0,13,318,331,49.53479080939808
District of Bratislava V,District of Pezinok,0.0,21,166,187,38.80366532774072
District of Bratislava V,District of Senec,0.0,56,442,498,20.479379876654352
