Параметр,n_moved_economic_delta_%,n_moved_economic_spearman_%,n_moved_economic_rf_%,n_moved_place_delta_%,n_moved_place_spearman_%,n_moved_place_rf_%,n_commute_started_delta_%,n_commute_started_spearman_%,n_commute_started_rf_%,n_actions_total_delta_%,n_actions_total_spearman_%,n_actions_total_rf_%
adapt_flex_threshold,2.08,2.06,1.04,2.99,0.68,1.49,2.36,0.48,0.77,15.05,36.95,76.62
adapt_sat_boost,2.5,0.04,1.06,2.36,0.32,1.42,3.22,0.29,0.54,3.39,1.67,0.17
aspirations_alpha,2.67,3.36,1.4,1.72,2.92,1.5,1.88,1.92,0.69,2.59,0.32,0.2
aspirations_closed_employer,3.41,0.59,0.97,3.55,0.29,1.12,2.75,0.07,0.54,4.11,0.04,0.59
base_appetite_max,1.44,7.02,3.98,2.78,2.83,0.68,2.88,6.63,5.88,2.28,1.82,0.37
base_appetite_min,4.32,13.11,34.09,2.79,6.99,10.0,5.13,10.73,20.38,2.95,2.63,0.47
commuter_gate_ref,2.19,5.66,7.86,2.98,6.39,2.24,5.89,15.41,39.1,1.69,5.0,0.29
decay_econ_penalty,2.45,0.77,0.66,2.08,2.05,0.99,2.43,1.45,0.96,2.65,0.04,0.2
decay_inertia_mobility,2.81,0.07,0.77,1.69,0.41,0.98,2.3,2.06,1.45,2.13,0.6,0.26
decay_social_boost_move,1.71,3.67,1.64,2.51,2.9,1.24,2.95,1.0,0.78,2.9,4.4,1.42
econ_gap_jobloss,2.15,1.22,1.34,1.82,1.95,1.13,3.93,0.4,0.64,2.64,0.37,0.2
gap_adapt_lambda,3.25,3.97,2.64,3.76,4.65,2.14,3.46,4.33,1.82,3.21,0.72,0.31
housing_alpha,2.71,1.98,0.95,2.28,0.15,1.31,2.64,1.73,0.4,1.91,0.25,0.25
housing_budget_ratio,2.58,2.24,0.74,2.66,1.86,1.02,2.4,1.32,0.56,1.81,0.21,0.23
hub_weak_ties_bonus,3.38,2.0,1.24,3.24,2.04,0.96,2.37,3.21,1.1,2.35,1.04,0.35
inertia_loss_jobloss,4.24,0.38,0.69,2.73,0.84,0.96,3.12,2.17,0.65,1.7,0.05,0.23
inertia_mobility_penalty_move,2.78,6.36,3.53,2.07,2.65,1.32,4.41,4.09,3.2,2.76,1.11,0.51
infra_bonus_delta,2.45,1.47,0.64,1.96,1.54,1.17,2.62,0.31,0.91,3.13,1.77,0.32
job_flex_gate_ref,2.74,0.08,1.11,2.32,0.62,1.46,2.16,2.21,0.67,3.21,0.51,0.18
max_jobs_pressure,2.31,1.36,0.87,4.33,1.57,0.93,2.67,1.76,0.64,2.3,3.32,0.22
max_work_candidates,3.69,9.71,14.25,4.85,17.41,29.48,3.43,4.65,1.44,1.92,4.92,0.31
min_desired_raise,1.68,3.08,0.8,3.0,3.26,1.61,2.74,2.82,0.84,2.56,0.22,0.23
move_stress_factor,1.99,3.33,1.29,2.47,3.98,3.4,2.84,1.53,0.55,2.74,1.21,0.21
move_weak_ties_penalty,3.27,1.39,1.22,3.16,1.96,0.92,1.78,1.96,0.7,1.25,0.95,0.15
neighbor_signal_coef,2.49,2.88,1.69,1.85,2.33,1.02,2.56,2.79,0.82,1.69,2.74,0.44
place_deficit_penalty_move,2.71,0.41,0.9,3.99,1.21,1.5,3.23,1.18,0.66,2.33,0.13,0.18
sat_smoothing,3.76,3.87,1.35,3.18,6.07,2.01,1.51,3.63,0.68,3.54,1.65,0.19
signal_decay,2.24,0.14,1.45,3.82,0.22,1.65,2.64,2.83,0.99,1.78,1.4,0.25
social_boost_commute,2.55,3.35,1.51,1.8,2.34,1.46,2.49,3.52,1.06,1.97,3.58,0.38
social_boost_move,5.8,6.43,3.96,2.98,10.12,16.82,4.42,8.92,7.59,4.54,12.54,13.15
social_boost_new_employer,4.1,1.24,0.74,3.05,0.42,0.94,0.5,0.88,0.48,2.12,1.6,0.25
unemployed_signal,3.85,0.54,1.0,4.0,0.27,1.09,3.45,0.65,0.81,2.78,2.38,0.24
unemployed_wage_ceil,2.3,0.4,0.9,3.21,1.71,1.43,3.65,0.76,0.5,1.78,0.85,0.19
unemployed_wage_floor,2.64,3.35,0.71,2.88,3.08,1.12,1.79,0.39,0.64,2.34,1.37,0.15
wage_alpha,2.77,2.44,1.02,3.13,1.98,1.51,1.4,1.91,0.57,1.89,1.61,0.29
